Project ID,Class,Requirement
1864,NSR,'The portal should allow users to customize dashboard layouts according to their preferences.'
1528,NSR,'The service should have a clean and intuitive interface that requires minimal training to operate.'
1388,SR,'The tool should enforce data retention policies by automatically purging sensitive records after 30 days in order to maintain system integrity.'
1336,SR,'The module must extract and analyze rootkits indicators of compromise from samples to mitigate the risk of data breaches.'
1886,NSR,'The application must complete database queries in under 500 milliseconds for datasets of up to 500 records.'
1915,SR,'The agent will provide a chain of custody record for all session processed by the system.'
2878,NSR,"'The platform will be compatible with major cloud platforms including AWS, Azure, and Google Cloud.'"
1908,NSR,'The application will allow users to view the history of previously submitted files.'
308,NSR,'(e.g. VoIP phones  Video phones  STBs  etc).'
1585,NSR,'The tool should generate automated summary emails of daily scanning activities.'
1264,NSR,'The portal shall log all system errors with sufficient context for post-incident analysis.'
936,SR,'The software must enforce HTTPS for all data transmission between client and server to ensure compliance with security best practices.'
1529,SR,'The framework will verify digital signatures before processing received confidential in accordance with the security policy.'
1303,NSR,'The software should support automated unit and integration testing with a code coverage target of 99%.'
982,SR,'The tool will monitor system calls to detect ransomware activity at runtime to mitigate the risk of data breaches.'
521,NSR,'The transaction signatures ensure end to end integrity of transmitted data for load  unload  and currency exchange transactions'
85,SR,'The system shall report when a form of identity theft is noticed. '
1028,SR,'The component shall detect port scanning activity originating from rogue nodes on the network.'
1337,SR,'The system will automatically log out inactive sessions after 60 minutes of inactivity to ensure confidentiality and integrity of sensitive data.'
1371,NSR,'The dashboard should include comprehensive inline code documentation and API documentation.'
1668,NSR,'The application shall consume no more than 99% of available CPU resources during idle monitoring.'
2542,NSR,'The dashboard must allow users to view the history of previously submitted samples.'
1295,NSR,'The module will be deployable on Windows 10 and later operating systems without modification.'
846,NSR,'The application must allow administrators to generate activity reports filtered by user.'
648,NSR,'The platform must provide a cross-platform command-line interface in addition to the GUI.'
1044,SR,'The platform must authenticate users using PIN-based authentication to mitigate the risk of data breaches.'
2456,NSR,'The software shall provide fail-safe behavior that prevents data loss in the event of an unexpected shutdown.'
921,SR,'The framework will capture and analyze HTTP(S) packets for signs of malicious activity to ensure confidentiality and integrity of sensitive data.'
785,NSR,'The dashboard will allow users to filter and search through configuration records efficiently.'
1391,SR,'The application must use asymmetric encryption (RSA-4096) for secure key exchange as part of the defence-in-depth security strategy.'
217,SR,'The CPN (trough CNDs and/or CNG) shall support manual configuration to insert information to access IMS network (e.g. IMPU  IMPI  Shared keys  Home Network Domain or P-CSCF IP Address  etc.).'
2380,NSR,'The platform shall use version control best practices including branching strategies and commit conventions.'
57,NSR,'The system shall be able to detect motion within the camera feed and capture and image where motion is detected. '
15,SR,'The system shall be able to distinguish the legitimate user from an illegitimate one by the use of unique behavioral biometrics '
742,NSR,'The platform will provide a RESTful API that allows external systems to trigger and retrieve monitoring results.'
802,NSR,'The module will provide keyboard shortcuts for frequently used operations.'
977,NSR,'The system should support concurrent analysis of up to 5 simultaneous requests without degradation.'
1299,SR,'The service will apply a visible digital watermark to documents upon author submission in accordance with the security policy.'
904,SR,'The framework will automatically generate detailed reports of detected XSS (Cross-Site Scripting) vulnerabilities to prevent exploitation by malicious actors.'
1040,SR,'The service shall detect and block connections to known malicious IP addresses and domains to ensure compliance with security best practices.'
21,NSR,'The system shall offer a short data transmission time between the target machine and big server '
2828,SR,'The agent must identify and classify adware samples based on behavioral signatures in order to maintain system integrity.'
1410,NSR,'The application must maintain a structured database of known vulnerability signatures and indicators.'
1589,SR,'The tool shall monitor DNS network traffic to detect security anomalies to ensure confidentiality and integrity of sensitive data.'
1797,NSR,'The portal should allow users to view the history of previously submitted samples.'
1234,NSR,"'The portal must be compatible with major cloud platforms including AWS, Azure, and Google Cloud.'"
953,NSR,'The application shall handle network disconnections gracefully and queue operations for retry.'
39,SR,'The system should work all the time and provide a means to handle errors with little or no input from the user. '
666,SR,'The software must verify the authenticity of audio files by checking its embedded watermark in order to maintain system integrity.'
328,SR,'To ensure card security and integrity  the GlobalPlatform is designed to support a range of secure mechanisms for: Data integrity  Resource availability  Confidentiality  Authentication.'
83,NSR,'The system shall send notification texts on recipients mobile phone. '
752,SR,'The component must detect unauthorized modifications to critical system files to prevent exploitation by malicious actors.'
1395,SR,'The application should perform static analysis to identify potential command injection vulnerabilities.'
883,SR,'The framework shall obtain and record user consent before collecting personal data in order to maintain system integrity.'
1564,NSR,'The tool must generate automated summary emails of daily monitoring activities.'
2047,NSR,'The platform will scale horizontally to handle increased scans volume without reconfiguration.'
666,NSR,'The module will consume no more than 85% of available CPU resources during idle monitoring.'
1233,SR,'The application must enforce data retention policies by automatically purging sensitive records after 6 months as part of the defence-in-depth security strategy.'
1206,SR,'The framework must generate cryptographically secure session tokens for each authenticated user in accordance with the security policy.'
2294,NSR,'The service shall provide a searchable database of historical vulnerability assessment results.'
97,NSR,"'The system shall enable stakeholders to come up with sound, accurate and concrete decisions. '"
1436,NSR,'The tool shall provide a user-friendly graphical user interface (GUI) for ease of use.'
1388,SR,'The component must analyze HTTP requests and responses to detect command injection attack patterns.'
705,SR,'The module shall embed an invisible digital watermark into PDF documents to protect ownership.'
70,NSR,'The user interface shall be almost self-explanatory. '
1648,NSR,'The dashboard will expose a well-documented RESTful API to enable third-party integrations.'
1136,NSR,'The interface shall test failover mechanisms periodically to ensure they operate as expected.'
1598,NSR,'The system must automatically recover from non-critical errors without requiring manual intervention.'
789,SR,'The tool shall notify administrators of critical security events via email to prevent exploitation by malicious actors.'
950,NSR,'The tool shall support automated unit and integration testing with a code coverage target of 99%.'
41,SR,'The system must also allow users to communicate securely knowing that their confidential data is safe from eavesdroppers. '
1442,NSR,'The application will operate efficiently on systems with as little as 4GB of available RAM.'
1588,NSR,'The module shall allow users to register an account by providing their email and organization details.'
2002,SR,'The module shall extract and analyze trojans indicators of compromise from samples using industry-standard cryptographic techniques.'
1904,NSR,'The tool shall operate efficiently on systems with as little as 512GB of available RAM.'
1281,NSR,'The platform shall provide a notification system that alerts users when vulnerability assessment is complete.'
823,SR,'The software must prevent privilege escalation attacks by validating all permission changes using industry-standard cryptographic techniques.'
333,NSR,'The Card Issuer is responsible for Managing the application code loading and installing both on a Pre-Issuance and Post-Issuance basis'
1443,SR,'The platform will comply with ISO 27001 data protection requirements to ensure compliance with security best practices.'
1698,NSR,'The tool will offer a dark mode option in addition to the default light theme.'
53,NSR,'The system shall provide security principles such as authentication.'
105,SR,'The system shall be able to detect and combat both existing and new Malware. '
2592,SR,'The application should implement multi-factor authentication (MFA) to prevent unauthorized access in accordance with the security policy.'
1089,NSR,'The interface should support concurrent analysis of up to 5 simultaneous applications without degradation.'
1328,NSR,'The software should include rollback capabilities to revert to a previous stable version if needed.'
1425,SR,'The agent must monitor system calls to detect malware activity at runtime.'
1784,SR,'The module should alert administrators when rootkits activity is detected in real time to prevent exploitation by malicious actors.'
789,NSR,'The tool should use less than 256MB of RAM during standard operation.'
595,SR,'The terminal must participate in a two-way authentication process with the card'
1529,NSR,'The portal must test failover mechanisms periodically to ensure they operate as expected.'
14,NSR,'The system shall produce a pop-up notification reporting the detected cryptojacking activity. '
1137,NSR,'The tool must support concurrent analysis of up to 10 simultaneous scans without degradation.'
1292,SR,'The agent shall implement secure communication channels using SSH protocol in order to maintain system integrity.'
1193,NSR,'The software will log all system errors with sufficient context for post-incident analysis.'
716,NSR,'The software will allow users to customize dashboard layouts according to their preferences.'
630,NSR,'The tool must generate automated summary emails of daily reporting activities.'
44,SR,'Use of a central database to enable real time data capturing and manipulation to facilitate access to laptop details from any computer connected to the database. '
1623,NSR,'The software must generate analysis reports in under 5 seconds for typical requests.'
1050,SR,'The software must maintain a tamper-evident audit log of all security events in order to maintain system integrity.'
2431,SR,'The tool shall allow for safe fail-secure behavior whenever a security fault is detected.'
1509,SR,'The framework will automatically generate detailed reports of detected XSS (Cross-Site Scripting) vulnerabilities to mitigate the risk of data breaches.'
363,SR,'When applicable a Security Domain shall Manage on-card data securely'
1166,NSR,'The portal shall separate configuration from code to allow environment-specific deployments.'
720,NSR,'The platform should provide a simple three-step workflow for account management tasks.'
1188,SR,'The service shall detect and block connections to known malicious IP addresses and domains to protect against unauthorized access.'
1517,NSR,'The interface will be packaged as a Docker container for simple installation on supported platforms.'
955,SR,'The application shall maintain a tamper-evident audit log of all login events.'
1226,SR,'The platform must support automatic updates to malware signature databases using industry-standard cryptographic techniques.'
1801,SR,'The software will analyze HTTP requests and responses to detect CSRF attack patterns to ensure compliance with security best practices.'
7,NSR,'The system shall be able to match current picture with database pictures'
669,NSR,'The dashboard will complete database queries in under 2 milliseconds for datasets of up to 500 records.'
1454,SR,'The component should enforce hardware token authentication before granting access to protected resources to prevent exploitation by malicious actors.'
35,NSR,'The system data well integrated with the web-based application in a seamless manner since both systems use the same database for sharing data.  '
561,SR,'Each POS transaction completed at the POS device is given a S5 MAC by the PSAM  which is used by the merchant acquirer to validate that the transactions were made at a POS device with a valid PSAM. The batch total count and amount must be protected by the S4 MAC  which must also be validated by the merchant acquirer'
1600,NSR,'The service must consume no more than 99.9% of available CPU resources during idle monitoring.'
939,SR,'The framework shall integrate with existing SIEM systems for centralized security monitoring in accordance with the security policy.'
20,NSR,'The system shall allow the user to capture Vehicle Registration Number using camera '
772,SR,'The platform will sign API responses to ensure integrity during transmission to ensure compliance with security best practices.'
1715,SR,'The service should generate behavioral reports for web applications executed in the sandbox.'
1014,SR,'The framework should embed an invisible digital watermark into audio files to protect ownership as part of the defence-in-depth security strategy.'
64,SR,'The system shall allow anomalies to be curbed after detection. '
793,SR,'The system should anonymize personally identifiable information before transmission.'
2376,NSR,'The interface must maintain a false positive rate below 99.9% during analysis operations.'
37,NSR,'The system will ensure that users have a good experience of using it as well as their ability to quickly navigate the self-explanation design of the system. '
1403,NSR,'The platform must minimize latency in real-time monitoring mode to under 100 milliseconds.'
1902,SR,'The tool shall prevent unauthorized access to sensitive configuration through access controls.'
1384,SR,'The service will obtain and record user consent before collecting financial.'
1020,NSR,'The service should support multi-tenancy so multiple organizations can use the system independently.'
1137,NSR,'The interface must process submitted tasks within 24 seconds under normal load conditions.'
1846,SR,'The tool must embed an invisible digital watermark into documents to protect ownership to ensure compliance with security best practices.'
1834,SR,'The framework will detect command injection vulnerabilities in submitted web applications as part of the defence-in-depth security strategy.'
802,SR,'The tool shall comply with GDPR data protection requirements in order to maintain system integrity.'
2292,SR,'The component will detect port scanning activity originating from rogue nodes on the network to prevent exploitation by malicious actors.'
715,NSR,'The tool shall use less than 8MB of RAM during standard operation.'
62,SR,"'The system must be considered downtime impact on the business, transport unavailability and minimizing unavailability.'"
973,NSR,'The module will allow authenticated users to upload queries for analysis.'
8,NSR,'The system shall be able to display message on rogue note screen warning the student by name that port scanning is not allowed and this is automatically added to the student s record if such an offence is repeated more than once. '
1453,NSR,'The portal must provide keyboard shortcuts for frequently used operations.'
47,NSR,'The performance of the system will be measured as the amount of work accomplished by the system and the manner in which the system will function. '
875,SR,'The system must perform static analysis to identify potential command injection vulnerabilities to ensure compliance with security best practices.'
1536,SR,'The component should limit login attempts to 10 consecutive failures before locking the account to ensure compliance with security best practices.'
687,SR,'The platform will verify digital signatures before processing received data to ensure confidentiality and integrity of sensitive data.'
1583,SR,'The software shall correlate network events against threat intelligence blacklists to mitigate the risk of data breaches.'
1120,SR,'The tool shall limit login attempts to 10 consecutive failures before locking the account.'
93,SR,'The system shall be flexible and adapts to changes. '
61,SR,"'System shall provide access only to legitimate users, resist unathorised users, accidental or unintended usage. '"
885,SR,'The module should notify administrators of critical security events via push notifications to prevent exploitation by malicious actors.'
1189,NSR,'The module should provide fail-safe behavior that prevents data loss in the event of an unexpected shutdown.'
1584,SR,'The platform must invalidate session tokens upon logout to prevent session hijacking in order to maintain system integrity.'
2279,SR,'The service shall extract and analyze spyware indicators of compromise from samples using industry-standard cryptographic techniques.'
1824,NSR,'The dashboard will maintain a consistent visual design across all screens and modules.'
2627,SR,'The tool shall classify detected trojans into known malware families using industry-standard cryptographic techniques.'
631,NSR,'The software must provide administrators with a configurable dashboard for system management.'
1760,SR,'The software will provide a chain of custody record for all session processed by the system.'
10,NSR,'The system shall be able to connect to Twitter Streaming API. '
1578,SR,'The platform must generate behavioral reports for web applications executed in the sandbox to ensure confidentiality and integrity of sensitive data.'
1117,NSR,'The interface should process submitted requests within 200 seconds under normal load conditions.'
1379,SR,'The application should automatically log out inactive sessions after 30 minutes of inactivity to ensure compliance with security best practices.'
1521,NSR,'The system shall achieve an uptime of at least 99% measured over a rolling monthly period.'
1646,SR,'The agent should identify and report format string injection points in target applications.'
1549,SR,'The system shall provide a chain of custody record for all confidential processed by the system to mitigate the risk of data breaches.'
1864,NSR,'The interface will ensure the system can process samples reliably across all supported Windows and Linux environments.'
2054,NSR,'The system will implement graceful degradation so critical functions remain available during partial failures.'
1608,SR,'The platform should store user passwords using bcrypt hashing with unique salts to mitigate the risk of data breaches.'
63,SR,"'The software is a safety-critical one and is used to perform last line of defense protection against attacks, since defects in safety-critical software can lead to serious service disruption or server down time. '"
1823,SR,'The module shall detect anomalous network traffic patterns indicative of keyloggers activity.'
1721,NSR,'The tool must implement transaction rollbacks to maintain data consistency during failures.'
36,NSR,'The system shall ensure that not much time is spent on loading the web page. '
686,SR,'The platform should require users to change default passwords upon first login in order to maintain system integrity.'
70,SR,'The system should allow for error recovery. '
1478,SR,'The application should embed an invisible digital watermark into images to protect ownership in accordance with the security policy.'
1048,SR,'The agent will anonymize personally identifiable information before storage as part of the defence-in-depth security strategy.'
750,SR,'The module must sign API responses to ensure integrity during transmission.'
953,SR,'The system shall perform static analysis to identify potential XSS (Cross-Site Scripting) vulnerabilities.'
622,SR,'The application must require users to change default passwords upon first login using industry-standard cryptographic techniques.'
833,NSR,'The interface shall be deployable on 64-bit Windows and Linux operating systems without modification.'
1745,NSR,'The system shall send a confirmation email to newly registered users with an activation link.'
781,SR,'The tool should detect polymorphic and obfuscated keyloggers variants in accordance with the security policy.'
1253,NSR,'The module shall minimize latency in real-time monitoring mode to under 1 milliseconds.'
1796,NSR,'The interface shall generate automated summary emails of daily vulnerability assessment activities.'
1383,SR,'The system shall monitor HTTP(S) network traffic to detect security anomalies using industry-standard cryptographic techniques.'
1863,SR,'The software shall embed an invisible digital watermark into images to protect ownership.'
1044,SR,'The platform must identify open ports and running services on the target network.'
1095,NSR,'The system should provide contextual help tooltips and user documentation throughout the interface.'
85,NSR,'The system shall have visibly defined flow and buttons that show the different functionalities that the user may require. '
957,NSR,"'The portal shall be deployable on Windows, Linux, and macOS operating systems without modification.'"
1172,NSR,'The module should minimize latency in real-time monitoring mode to under 2 milliseconds.'
2048,SR,'The framework must detect man-in-the-middle attacks through certificate validation monitoring in order to maintain system integrity.'
630,NSR,'The module must achieve a throughput of at least 20 samples per hour in production.'
372,NSR,'A Global Services Application shall Perform internal security measures as required by the service.'
1873,SR,'The framework shall invalidate session tokens upon logout to prevent session hijacking.'
702,SR,'The framework shall scan submitted code for LDAP injection security flaws to protect against unauthorized access.'
1237,NSR,'The platform must allow users to view the history of previously submitted applications.'
906,SR,'The software must implement account lockout mechanisms after repeated failed login attempts in order to maintain system integrity.'
772,NSR,'The service shall support bulk submission of files for batch reporting processing.'
1684,SR,'The application shall notify administrators of critical security events via SMS in accordance with the security policy.'
66,NSR,'The user interface should be easy to navigate and should be self-explanatory. '
48,SR,'The system scanner may accept a certain number of URLS that should test them for selected vulnerabilities. '
15,NSR,'The system shall capture users keyboard typing pattern and mouse movement pattern during registration. '
2929,NSR,'The interface will integrate with third-party SIEM platforms via OAuth 2.0.'
662,SR,'The application should monitor UDP network traffic to detect security anomalies.'
935,NSR,'The platform should be deployable on 64-bit Windows and Linux operating systems without modification.'
10,NSR,'The system shall be able to access contacts list in child device '
1272,SR,'The application will verify the authenticity of video files by checking its embedded watermark using industry-standard cryptographic techniques.'
630,SR,'The framework should anonymize personally identifiable information before reporting as part of the defence-in-depth security strategy.'
1001,NSR,"'The application must allow administrators to create, read, update, and delete user accounts.'"
703,SR,'The system should verify the integrity of session using cryptographic checksums as part of the defence-in-depth security strategy.'
1093,SR,'The application shall detect man-in-the-middle attacks through certificate validation monitoring as part of the defence-in-depth security strategy.'
2297,SR,'The application must block network communication from hosts identified as compromised using industry-standard cryptographic techniques.'
1318,NSR,'The application should display results in both tabular and graphical chart formats.'
1255,NSR,'The system should allow users to set and manage vulnerability assessment thresholds and alert rules.'
6,NSR,'The system shall create an environment for embedding and extracting the watermark from an image. '
1646,SR,'The service should monitor TCP/IP network traffic to detect security anomalies using industry-standard cryptographic techniques.'
942,SR,'The framework shall analyze HTTP requests and responses to detect buffer overflow attack patterns.'
403,NSR,'The off-card entity under the OP_READY state may insert Security Domain keys  in order to maintain a cryptographic key separation from the Issuer Security Domain keys'
811,SR,'The software must alert administrators when worms activity is detected in real time.'
1494,SR,'The component must monitor system calls to detect keyloggers activity at runtime.'
59,NSR,'The system shall allow a user to do CRUD operations on record. '
1406,SR,'The service will enforce OAuth 2.0 before granting access to protected resources to mitigate the risk of data breaches.'
904,NSR,'The interface shall provide a disaster recovery plan with a recovery time objective of 24 hours.'
1132,SR,'The component should provide a chain of custody record for all user processed by the system to prevent exploitation by malicious actors.'
1368,NSR,'The software should maintain a structured database of known vulnerability signatures and indicators.'
1222,SR,'The service must require users to change default passwords upon first login to ensure compliance with security best practices.'
1239,NSR,'The interface shall follow clean code principles and established design patterns for maintainability.'
48,NSR,'The system should have a friendly user interface for ease of use purposes and for a better user experience. '
2328,SR,'The software shall detect man-in-the-middle attacks through certificate validation monitoring to mitigate the risk of data breaches.'
437,NSR,'As multiple Applications on the card may have the same partial AID  it is required that a method exists to select all Applications matching the partial AID.'
1049,NSR,'The application should test failover mechanisms periodically to ensure they operate as expected.'
2795,SR,'The framework must detect man-in-the-middle attacks through certificate validation monitoring as part of the defence-in-depth security strategy.'
20,NSR,'The system software shall be based on web and has to be run from a web server that interacts with the software installed in the mobile device'
53,NSR,'The system shall enable retrieval of the watermark from the image and displaying the similarity of the original image and the watermarked image.  '
1444,SR,'The system should detect unauthorized modifications to critical system files to ensure compliance with security best practices.'
2146,NSR,'The platform will allow multiple users to collaborate on analysis within a shared workspace.'
868,SR,'The software will embed an invisible digital watermark into PDF documents to protect ownership to prevent exploitation by malicious actors.'
416,SR,'Depending on the relevant privileges of the requesting entity  the following services shall be provided by the OPEN Retrieving the Applications own Life Cycle State stored by the OPEN in the GlobalPlatform Registry    Retrieving the card Life Cycle State    Obtaining access to the services of the Security Domain associated with the Application    Transitioning the card Life Cycle State to CARD_LOCKED    For contact cards according to ISOIEC 78164 and for contactless cards Type A according to ISOIEC 144433  setting the content of the historical bytes    Transitioning the Applications own Application Life Cycle State stored by the OPEN in the GlobalPlatform Registry    Transitioning the card Life Cycle State to TERMINATED    Obtaining access to GlobalPlatform Registry information    Obtaining access to Global Services Applications.'
1184,SR,'The application should enforce data retention policies by automatically purging sensitive records after 90 days to ensure compliance with security best practices.'
898,NSR,'The tool must perform automated health checks every 60 seconds and alert on anomalies.'
1212,NSR,'The dashboard must provide a user-friendly graphical user interface (GUI) for ease of use.'
1177,SR,'The component will detect and block connections to known malicious IP addresses and domains.'
112,SR,'The CNG should detect replayed user and/or device credentials.'
757,SR,'The agent will validate input sanitization to prevent path traversal injection attacks to ensure compliance with security best practices.'
1323,NSR,'The system must perform automated health checks every 3 seconds and alert on anomalies.'
